PR,PRI
PS,PSE
PT,PRT
PW,PLW
PY,PRY
QA,QAT
AD,AND
AE,ARE
AF,AFG
AG,ATG
AI,AIA
AL,ALB
AM,ARM
AN,ANT
AO,AGO
AQ,ATA
AR,ARG
AS,ASM
AT,AUT
RE,REU
AU,AUS
AW,ABW
AX,ALA
AZ,AZE
RO,ROU
BA,BIH
BB,BRB
RS,SRB
BD,BGD
BE,BEL
RU,RUS
BF,BFA
BG,BGR
RW,RWA
BH,BHR
BI,BDI
BJ,BEN
BL,BLM
BM,BMU
BN,BRN
BO,BOL
SA,SAU
SB,SLB
BR,BRA
SC,SYC
BS,BHS
SD,SDN
BT,BTN
SE,SWE
BV,BVT
SG,SGP
BW,BWA
SH,SHN
SI,SVN
BY,BLR
SJ,SJM
BZ,BLZ
SK,SVK
SL,SLE
SM,SMR
SN,SEN
SO,SOM
CA,CAN
SR,SUR
CC,CCK
SS,SSD
CD,COD
ST,STP
CF,CAF
SV,SLV
CG,COG
CH,CHE
CI,CIV
SY,SYR
SZ,SWZ
CK,COK
CL,CHL
CM,CMR
CN,CHN
CO,COL
CR,CRI
TC,TCA
TD,TCD
CU,CUB
TF,ATF
CV,CPV
TG,TGO
TH,THA
CX,CXR
CY,CYP
TJ,TJK
CZ,CZE
TK,TKL
TL,TLS
TM,TKM
TN,TUN
TO,TON
TR,TUR
TT,TTO
DE,DEU
TV,TUV
TW,TWN
DJ,DJI
TZ,TZA
DK,DNK
DM,DMA
DO,DOM
UA,UKR
UG,UGA
DZ,DZA
UM,UMI
EC,ECU
US,USA
EE,EST
EG,EGY
EH,ESH
UY,URY
UZ,UZB
VA,VAT
ER,ERI
VC,VCT
ES,ESP
ET,ETH
VE,VEN
VG,VGB
VI,VIR
VN,VNM
VU,VUT
FI,FIN
FJ,FJI
FK,FLK
FM,FSM
FO,FRO
FR,FRA
WF,WLF
GA,GAB
GB,GBR
WS,WSM
GD,GRD
GE,GEO
GF,GUF
GG,GGY
GH,GHA
GI,GIB
GL,GRL
GM,GMB
GN,GIN
GP,GLP
GQ,GNQ
GR,GRC
GS,SGS
GT,GTM
GU,GUM
GW,GNB
GY,GUY
HK,HKG
HM,HMD
HN,HND
HR,HRV
HT,HTI
YE,YEM
HU,HUN
ID,IDN
YT,MYT
IE,IRL
IL,ISR
IM,IMN
IN,IND
IO,IOT
ZA,ZAF
IQ,IRQ
IR,IRN
IS,ISL
IT,ITA
ZM,ZMB
JE,JEY
ZW,ZWE
JM,JAM
JO,JOR
JP,JPN
KE,KEN
KG,KGZ
KH,KHM
KI,KIR
KM,COM
KN,KNA
KP,PRK
KR,KOR
KW,KWT
KY,CYM
KZ,KAZ
LA,LAO
LB,LBN
LC,LCA
LI,LIE
LK,LKA
LR,LBR
LS,LSO
LT,LTU
LU,LUX
LV,LVA
LY,LBY
MA,MAR
MC,MCO
MD,MDA
ME,MNE
MF,MAF
MG,MDG
MH,MHL
MK,MKD
ML,MLI
MM,MMR
MN,MNG
MO,MAC
MP,MNP
MQ,MTQ
MR,MRT
MS,MSR
MT,MLT
MU,MUS
MV,MDV
MW,MWI
MX,MEX
MY,MYS
MZ,MOZ
NA,NAM
NC,NCL
NE,NER
NF,NFK
NG,NGA
NI,NIC
NL,NLD
NO,NOR
NP,NPL
NR,NRU
NU,NIU
NZ,NZL
OM,OMN
PA,PAN
PE,PER
PF,PYF
PG,PNG
PH,PHL
PK,PAK
PL,POL
PM,SPM
PN,PCN